               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086947,            0.055782,                   0,             0.74264,             0.70694,             0.73205,             0.32354,            0.052645,            0.041157,                   0,            0.067091,          0.00033242,          0.00033242
                   1,            0.054021,            0.040857,                   0,             0.85506,             0.80069,             0.86303,              0.3916,            0.044752,            0.037528,                   0,            0.034089,          0.00066375,          0.00066375
                   2,            0.049238,            0.038103,                   0,               0.878,             0.84947,             0.90601,             0.47395,            0.040904,            0.035108,                   0,           0.0010849,          0.00099309,          0.00099309
                   3,              0.0453,            0.035731,                   0,             0.91012,             0.89405,             0.94063,             0.52888,            0.034347,            0.031969,                   0,            0.000991,            0.000991,            0.000991
                   4,             0.04268,            0.034228,                   0,             0.92333,             0.90015,             0.94788,             0.47511,            0.038663,            0.031043,                   0,            0.000991,            0.000991,            0.000991
                   5,            0.040503,            0.032804,                   0,             0.93422,             0.90968,             0.95662,             0.52598,            0.035363,            0.029801,                   0,            0.000988,            0.000988,            0.000988
                   6,            0.039087,            0.031544,                   0,             0.94624,             0.91567,             0.96245,             0.55657,            0.032169,            0.028174,                   0,            0.000985,            0.000985,            0.000985
                   7,            0.037886,            0.030826,                   0,             0.95121,             0.91754,             0.96566,             0.56447,            0.031625,            0.027852,                   0,            0.000982,            0.000982,            0.000982
                   8,            0.036626,            0.030349,                   0,             0.96175,              0.9199,             0.96987,             0.56784,            0.031422,            0.027328,                   0,            0.000979,            0.000979,            0.000979
                   9,            0.035851,            0.029858,                   0,             0.96098,             0.93083,             0.97319,             0.58435,            0.030312,            0.026653,                   0,            0.000976,            0.000976,            0.000976
                  10,            0.034966,            0.029273,                   0,             0.96458,             0.93255,             0.97565,             0.59945,            0.029585,            0.026685,                   0,            0.000973,            0.000973,            0.000973
                  11,            0.034118,            0.028696,                   0,             0.96383,             0.93979,             0.97678,             0.60468,            0.029433,            0.025944,                   0,             0.00097,             0.00097,             0.00097
                  12,             0.03375,            0.028738,                   0,             0.96367,              0.9352,             0.97529,             0.59651,             0.02977,            0.026487,                   0,            0.000967,            0.000967,            0.000967
                  13,            0.033105,            0.028054,                   0,              0.9617,             0.94267,             0.97863,             0.62494,            0.028029,            0.025865,                   0,            0.000964,            0.000964,            0.000964
                  14,            0.032544,            0.027818,                   0,             0.97014,             0.94104,             0.97972,             0.64565,            0.026947,            0.025052,                   0,            0.000961,            0.000961,            0.000961
                  15,            0.032027,            0.027446,                   0,             0.97296,             0.93935,             0.98129,             0.64675,            0.026706,            0.024879,                   0,            0.000958,            0.000958,            0.000958
                  16,            0.031824,            0.027317,                   0,             0.96719,             0.94569,              0.9822,             0.65568,             0.02601,            0.024518,                   0,            0.000955,            0.000955,            0.000955
                  17,            0.031387,            0.026989,                   0,             0.96603,             0.95356,             0.98323,             0.65397,            0.025967,            0.024449,                   0,            0.000952,            0.000952,            0.000952
                  18,            0.031129,            0.026949,                   0,             0.96939,             0.95358,             0.98508,             0.67388,             0.02543,            0.023823,                   0,            0.000949,            0.000949,            0.000949
                  19,            0.030821,            0.026678,                   0,             0.96381,             0.95407,              0.9844,             0.67414,            0.024972,            0.024028,                   0,            0.000946,            0.000946,            0.000946
                  20,            0.030488,            0.026335,                   0,             0.97286,              0.9495,             0.98574,             0.67055,            0.025259,            0.023601,                   0,            0.000943,            0.000943,            0.000943
                  21,            0.030305,            0.026126,                   0,             0.96472,             0.95363,             0.98474,             0.68031,            0.024832,            0.023817,                   0,             0.00094,             0.00094,             0.00094
