               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.043956,            0.020887,                   0,             0.97977,             0.96951,             0.99178,             0.74501,            0.040625,             0.02091,                   0,            0.000772,            0.000772,            0.000772
                  40,            0.043706,            0.020628,                   0,             0.97919,              0.9697,             0.99179,             0.74578,            0.040439,            0.020766,                   0,            0.000766,            0.000766,            0.000766
                  41,            0.043368,            0.020781,                   0,             0.97781,             0.97398,             0.99203,             0.74777,            0.040169,            0.020681,                   0,             0.00076,             0.00076,             0.00076
                  42,             0.04321,            0.020488,                   0,             0.97706,             0.97369,             0.99195,             0.74932,            0.040048,            0.020689,                   0,            0.000754,            0.000754,            0.000754
                  43,            0.043209,              0.0208,                   0,             0.98023,             0.97287,              0.9922,             0.75112,            0.040057,            0.020565,                   0,            0.000748,            0.000748,            0.000748
                  44,             0.04303,            0.020545,                   0,             0.98077,             0.97184,             0.99226,             0.75168,            0.039983,            0.020527,                   0,            0.000742,            0.000742,            0.000742
                  45,            0.042677,            0.020518,                   0,             0.98017,             0.97275,             0.99202,              0.7521,             0.03975,            0.020498,                   0,            0.000736,            0.000736,            0.000736
                  46,            0.042918,            0.020552,                   0,              0.9802,             0.97294,             0.99219,             0.75182,            0.039861,            0.020463,                   0,             0.00073,             0.00073,             0.00073
                  47,            0.042693,            0.020532,                   0,              0.9834,             0.97089,             0.99234,             0.75391,             0.03985,            0.020455,                   0,            0.000724,            0.000724,            0.000724
                  48,            0.042493,             0.02018,                   0,             0.98083,             0.97476,             0.99239,             0.75395,            0.039809,            0.020394,                   0,            0.000718,            0.000718,            0.000718
                  49,            0.042318,            0.020241,                   0,             0.98306,             0.97314,             0.99248,             0.75552,            0.039495,            0.020267,                   0,            0.000712,            0.000712,            0.000712
                  50,            0.042281,            0.020107,                   0,              0.9823,             0.97504,             0.99251,             0.75796,            0.039315,            0.020222,                   0,            0.000706,            0.000706,            0.000706
                  51,            0.042235,            0.020298,                   0,             0.98103,             0.97532,             0.99256,             0.75559,            0.039343,            0.020225,                   0,              0.0007,              0.0007,              0.0007
                  52,            0.042035,            0.020341,                   0,             0.98176,             0.97418,             0.99246,             0.75581,            0.039372,            0.020183,                   0,            0.000694,            0.000694,            0.000694
                  53,            0.042008,            0.019979,                   0,              0.9832,             0.97389,             0.99253,             0.75792,            0.039172,            0.020076,                   0,            0.000688,            0.000688,            0.000688
                  54,            0.041721,            0.020105,                   0,             0.98309,             0.97507,             0.99269,              0.7589,            0.039205,            0.020032,                   0,            0.000682,            0.000682,            0.000682
                  55,            0.041591,            0.019945,                   0,             0.98284,             0.97618,             0.99266,             0.75825,            0.039109,            0.020012,                   0,            0.000676,            0.000676,            0.000676
                  56,            0.041645,            0.020107,                   0,             0.98322,             0.97485,              0.9928,             0.75902,            0.038931,            0.019973,                   0,             0.00067,             0.00067,             0.00067
                  57,            0.041415,            0.019867,                   0,             0.98368,             0.97389,             0.99272,             0.75899,            0.038881,            0.019954,                   0,            0.000664,            0.000664,            0.000664
                  58,            0.041251,            0.019795,                   0,              0.9844,             0.97393,             0.99268,             0.75887,             0.03891,            0.019942,                   0,            0.000658,            0.000658,            0.000658
                  59,            0.041411,            0.019843,                   0,             0.98494,             0.97428,             0.99289,             0.75996,            0.038843,            0.019904,                   0,            0.000652,            0.000652,            0.000652
                  60,            0.040839,            0.019518,                   0,             0.98219,             0.97742,             0.99278,             0.76098,            0.038782,             0.01986,                   0,            0.000646,            0.000646,            0.000646
                  61,            0.041014,            0.019806,                   0,             0.98454,             0.97561,             0.99279,             0.76229,            0.038785,            0.019845,                   0,             0.00064,             0.00064,             0.00064
                  62,            0.041059,            0.019695,                   0,              0.9818,             0.97828,             0.99279,             0.76264,            0.038751,            0.019811,                   0,            0.000634,            0.000634,            0.000634
                  63,            0.040665,            0.019616,                   0,             0.98388,             0.97681,             0.99286,             0.76477,            0.038586,            0.019758,                   0,            0.000628,            0.000628,            0.000628
                  64,            0.040614,            0.019595,                   0,             0.98332,             0.97734,             0.99289,             0.76572,            0.038503,            0.019717,                   0,            0.000622,            0.000622,            0.000622
                  65,            0.040574,            0.019324,                   0,             0.98312,             0.97771,             0.99299,             0.76549,            0.038434,            0.019705,                   0,            0.000616,            0.000616,            0.000616
                  66,             0.04059,            0.019542,                   0,             0.98277,             0.97904,             0.99302,             0.76581,            0.038402,            0.019681,                   0,             0.00061,             0.00061,             0.00061
                  67,            0.040393,            0.019443,                   0,             0.98378,             0.97866,             0.99301,             0.76607,            0.038345,            0.019642,                   0,            0.000604,            0.000604,            0.000604
                  68,            0.040402,            0.019507,                   0,             0.98386,             0.97885,             0.99299,              0.7666,            0.038276,            0.019616,                   0,            0.000598,            0.000598,            0.000598
                  69,            0.040204,            0.019232,                   0,             0.98485,             0.97878,               0.993,             0.76654,            0.038254,              0.0196,                   0,            0.000592,            0.000592,            0.000592
                  70,            0.040193,            0.019525,                   0,             0.98504,             0.97838,             0.99301,             0.76715,            0.038226,            0.019569,                   0,            0.000586,            0.000586,            0.000586
                  71,             0.04012,            0.019434,                   0,             0.98542,             0.97868,              0.9931,             0.76658,            0.038213,            0.019537,                   0,             0.00058,             0.00058,             0.00058
                  72,            0.040216,             0.01912,                   0,             0.98519,             0.97904,             0.99316,             0.76668,            0.038133,            0.019492,                   0,            0.000574,            0.000574,            0.000574
                  73,            0.039714,            0.019239,                   0,             0.98474,             0.97904,             0.99318,             0.76769,            0.038043,            0.019455,                   0,            0.000568,            0.000568,            0.000568
                  74,            0.039821,            0.019198,                   0,             0.98421,              0.9798,             0.99321,             0.76852,            0.038012,            0.019427,                   0,            0.000562,            0.000562,            0.000562
                  75,            0.039714,            0.019216,                   0,             0.98393,             0.97975,             0.99325,             0.76932,            0.037984,            0.019402,                   0,            0.000556,            0.000556,            0.000556
                  76,            0.039917,            0.019341,                   0,             0.98429,             0.97999,              0.9933,             0.76958,            0.037933,            0.019378,                   0,             0.00055,             0.00055,             0.00055
                  77,            0.039538,            0.019074,                   0,             0.98412,                0.98,             0.99332,             0.77004,            0.037873,            0.019355,                   0,            0.000544,            0.000544,            0.000544
                  78,            0.039514,            0.019176,                   0,             0.98462,             0.97999,             0.99332,             0.77033,            0.037839,             0.01934,                   0,            0.000538,            0.000538,            0.000538
                  79,            0.039597,            0.019243,                   0,             0.98412,             0.97991,             0.99335,             0.77011,            0.037808,             0.01933,                   0,            0.000532,            0.000532,            0.000532
                  80,            0.039592,            0.019134,                   0,             0.98339,             0.98129,              0.9934,             0.77118,            0.037756,            0.019313,                   0,            0.000526,            0.000526,            0.000526
                  81,            0.039455,            0.019076,                   0,             0.98376,             0.98106,              0.9934,             0.77091,            0.037736,            0.019307,                   0,             0.00052,             0.00052,             0.00052
                  82,            0.039464,            0.018894,                   0,             0.98431,             0.98037,             0.99342,              0.7711,            0.037699,            0.019286,                   0,            0.000514,            0.000514,            0.000514
                  83,            0.039203,            0.018855,                   0,             0.98451,             0.98066,             0.99341,             0.77137,            0.037681,            0.019273,                   0,            0.000508,            0.000508,            0.000508
                  84,            0.038901,            0.018871,                   0,             0.98489,             0.98124,             0.99341,             0.77152,            0.037654,            0.019261,                   0,            0.000502,            0.000502,            0.000502
                  85,            0.039127,             0.01885,                   0,              0.9849,             0.98184,             0.99341,             0.77209,            0.037627,            0.019247,                   0,            0.000496,            0.000496,            0.000496
                  86,            0.038958,             0.01881,                   0,             0.98434,             0.98221,             0.99343,             0.77199,            0.037618,            0.019241,                   0,             0.00049,             0.00049,             0.00049
                  87,            0.038728,            0.018931,                   0,             0.98341,             0.98249,             0.99343,             0.77224,            0.037602,            0.019231,                   0,            0.000484,            0.000484,            0.000484
                  88,            0.038872,            0.018975,                   0,             0.98324,             0.98356,             0.99344,             0.77194,            0.037598,            0.019219,                   0,            0.000478,            0.000478,            0.000478
                  89,             0.03883,            0.018876,                   0,             0.98359,             0.98236,             0.99345,             0.77244,            0.037583,            0.019208,                   0,            0.000472,            0.000472,            0.000472
                  90,            0.039048,             0.01896,                   0,             0.98404,             0.98228,             0.99346,             0.77253,             0.03757,            0.019196,                   0,            0.000466,            0.000466,            0.000466
