               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.019859,            0.014337,                   0,             0.99292,             0.98836,             0.99427,             0.79576,            0.017912,            0.017748,                   0,             0.00829,             0.00829,             0.00829
                  40,            0.019675,            0.014389,                   0,             0.99178,             0.98823,             0.99434,             0.79368,            0.018227,            0.017873,                   0,            0.008245,            0.008245,            0.008245
                  41,             0.01975,            0.014472,                   0,             0.99166,             0.98971,             0.99418,             0.79781,            0.017803,            0.017773,                   0,              0.0082,              0.0082,              0.0082
                  42,            0.019674,            0.014261,                   0,               0.992,             0.99257,             0.99427,             0.79727,             0.01794,            0.017679,                   0,            0.008155,            0.008155,            0.008155
                  43,            0.019586,            0.014384,                   0,             0.99087,              0.9927,             0.99434,             0.80101,            0.017624,            0.017518,                   0,             0.00811,             0.00811,             0.00811
                  44,            0.019465,            0.014284,                   0,             0.99273,             0.99219,             0.99432,             0.80233,            0.017575,            0.017447,                   0,            0.008065,            0.008065,            0.008065
                  45,             0.01934,            0.014079,                   0,             0.99206,             0.99333,              0.9944,             0.80312,             0.01755,            0.017368,                   0,             0.00802,             0.00802,             0.00802
                  46,            0.019388,            0.014128,                   0,             0.99314,              0.9928,             0.99441,              0.8072,            0.017377,            0.017277,                   0,            0.007975,            0.007975,            0.007975
                  47,            0.019174,            0.013984,                   0,             0.99404,             0.99314,             0.99448,             0.80546,             0.01746,            0.017259,                   0,             0.00793,             0.00793,             0.00793
                  48,            0.019261,            0.013954,                   0,             0.99258,             0.99364,             0.99452,             0.80722,            0.017206,            0.017159,                   0,            0.007885,            0.007885,            0.007885
                  49,            0.019223,            0.013963,                   0,             0.99293,             0.99219,             0.99455,             0.80893,             0.01728,            0.017076,                   0,             0.00784,             0.00784,             0.00784
                  50,            0.019114,            0.014011,                   0,             0.99484,             0.99245,             0.99459,              0.8102,            0.017169,            0.016994,                   0,            0.007795,            0.007795,            0.007795
                  51,            0.018958,            0.013832,                   0,              0.9939,             0.99219,             0.99456,              0.8084,            0.017187,            0.017071,                   0,             0.00775,             0.00775,             0.00775
                  52,            0.019011,            0.013941,                   0,             0.99371,             0.99361,              0.9945,             0.80988,            0.017182,            0.017067,                   0,            0.007705,            0.007705,            0.007705
                  53,            0.018798,             0.01366,                   0,               0.993,             0.99333,             0.99458,             0.80985,            0.017153,            0.016983,                   0,             0.00766,             0.00766,             0.00766
                  54,            0.018879,            0.013774,                   0,              0.9941,             0.99495,             0.99459,             0.81161,            0.017047,            0.016949,                   0,            0.007615,            0.007615,            0.007615
                  55,            0.018938,            0.013888,                   0,             0.99447,             0.99434,             0.99465,             0.81158,            0.016956,              0.0169,                   0,             0.00757,             0.00757,             0.00757
                  56,            0.018572,            0.013666,                   0,             0.99485,             0.99471,             0.99464,             0.81472,            0.016802,            0.016726,                   0,            0.007525,            0.007525,            0.007525
                  57,            0.018777,            0.013691,                   0,             0.99485,             0.99446,             0.99459,              0.8165,            0.016707,            0.016648,                   0,             0.00748,             0.00748,             0.00748
                  58,            0.018493,            0.013517,                   0,             0.99445,              0.9939,             0.99461,             0.81886,            0.016638,            0.016647,                   0,            0.007435,            0.007435,            0.007435
                  59,            0.018444,            0.013483,                   0,             0.99419,             0.99428,             0.99462,             0.81921,            0.016586,            0.016592,                   0,             0.00739,             0.00739,             0.00739
                  60,            0.018491,            0.013572,                   0,             0.99504,              0.9942,             0.99463,             0.82173,            0.016515,            0.016496,                   0,            0.007345,            0.007345,            0.007345
                  61,            0.018442,            0.013603,                   0,             0.99448,             0.99503,             0.99462,             0.82143,            0.016531,            0.016488,                   0,              0.0073,              0.0073,              0.0073
                  62,            0.018416,            0.013256,                   0,             0.99486,             0.99491,             0.99461,             0.82242,            0.016478,            0.016489,                   0,            0.007255,            0.007255,            0.007255
                  63,            0.018114,            0.013328,                   0,             0.99486,             0.99499,             0.99459,             0.82294,            0.016431,            0.016427,                   0,             0.00721,             0.00721,             0.00721
                  64,             0.01818,             0.01318,                   0,             0.99486,             0.99428,             0.99453,             0.82437,            0.016375,             0.01639,                   0,            0.007165,            0.007165,            0.007165
                  65,            0.018163,             0.01328,                   0,             0.99485,             0.99468,             0.99454,             0.82441,            0.016362,            0.016335,                   0,             0.00712,             0.00712,             0.00712
                  66,            0.018114,            0.013307,                   0,             0.99542,             0.99483,             0.99455,             0.82533,            0.016291,            0.016302,                   0,            0.007075,            0.007075,            0.007075
                  67,            0.017922,            0.013147,                   0,             0.99487,             0.99505,              0.9946,             0.82641,            0.016175,            0.016236,                   0,             0.00703,             0.00703,             0.00703
